20/alt	C	1/8A	84	08/17/2019	Steve Kristal
20/alt	C	1/4A	121	02/06/2021	Steve Kristal
20/alt	C	1/2A	256	07/26/2021	Chad Ring
20/alt	C	A	341	09/01/2022	Chris Flanigan
20/alt	C	B	551	07/20/2022	Chad Ring
20/alt	C	C	717	03/05/2022	Taras Tataryn
20/alt	C	D	1071	03/06/2022	Taras Tataryn
20/alt	C	E	1834	05/30/2021	Chris Flanigan
20/alt	C	F	2022	01/02/2022	Steve Kristal
20/alt	C	G	2071	03/14/2015	Stephen Arwine
